go_struct,type_token,defs_name,discriminator,variant_when,embeds,fragment,deprecated,corpus_instances,corpus_prod_instances,exemplar_file,exemplar_path,doc_ref,harness,description,notes
AnonymizeSpec,de-identification,AnonymizeSpecDeIdentification,mode,-,-,yes,no,1,1,workspaces/cedargate_ws/pipes_config/deid.pc.json,conditional_pipes_config.2.pipes_config.0.apply.0.anonymize_config,jets/compute_pipes/pipes_model.go:1056,pass,"Configuration for the de-identification transformation operator: lookup for replacement values, etc.",-
DistinctSpec,*,DistinctSpec,-,-,-,yes,no,2,2,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.5.pipes_config.0.apply.0.distinct_config,jets/compute_pipes/pipes_model.go:1077,pass,Configuration for the distinct transformation operator: specify the composite key.,-
ShufflingSpec,*,ShufflingSpec,-,-,-,yes,no,2,2,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.4.pipes_config.0.apply.0.shuffling_config,jets/compute_pipes/pipes_model.go:1082,pass,"Configuration for the shuffle transformation operator:number of records to retain to draw values from, max number of output records, column filtering, etc.",-
FilterColumnSpec,*,FilterColumnSpec,-,-,-,yes,no,1,1,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.4.pipes_config.0.apply.0.shuffling_config.filter_columns,jets/compute_pipes/pipes_model.go:1095,pass,Specify how to filter columns in the input rows before shuffling.,-
GroupBySpec,*,GroupBySpec,-,-,-,yes,no,12,11,workspaces/cedargate_ws/pipes_config/jetrules_test.pc.json,reducing_pipes_config.0.0.apply.0.group_by_config,jets/compute_pipes/pipes_model.go:1108,pass,"Specify how rows are grouped, one of: domain_key, group_by_name, group_by_pos or group_by_count.",-
FilterSpec,*,FilterSpec,-,-,-,yes,no,4,4,workspaces/cedargate_ws/pipes_config/deid.pc.json,conditional_pipes_config.0.pipes_config.0.apply.0.conditional_config.0.then.filter_config,jets/compute_pipes/pipes_model.go:1130,pass,"Specify how to filter rows, define a when criteria, max output rows, etc.",-
SortSpec,*,SortSpec,-,-,-,yes,no,23,22,workspaces/jets_ws/pipes_config/map_entity.pc.json,conditional_pipes_config.1.pipes_config.1.apply.0.sort_config,jets/compute_pipes/pipes_model.go:1140,pass,Specify the composite key for sorting rows: using the domain key of the input channel class or by column names.,-
JetrulesSpec,*,JetrulesSpec,-,-,-,yes,no,13,13,workspaces/cedargate_ws/pipes_config/jetrules_test.pc.json,reducing_pipes_config.0.1.apply.0.jetrules_config,jets/compute_pipes/pipes_model.go:1170,pass,"Configuration for the JetRules transformation operator: rule process name, input rdf type, worker pool size, etc.",-
OutputChannelConfig,memory,OutputChannelConfigMemory,type,-,FileConfig,yes,no,306,303,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.output_channel,jets/compute_pipes/pipes_model.go:790,pass,Configuration for in-memory channel to pass records between transformation operators.,-
OutputChannelConfig,stage,OutputChannelConfigStage,type,-,FileConfig,yes,no,143,140,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.0.pipes_config.0.apply.0.output_channel,jets/compute_pipes/pipes_model.go:790,pass,Configuration for a channel writing to JetStore stage s3 location.,-
OutputChannelConfig,output,OutputChannelConfigOutput,type,-,FileConfig,yes,no,6,5,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.2.pipes_config.1.apply.0.output_channel,jets/compute_pipes/pipes_model.go:790,pass,Configuration for a channel writing to a specified s3 location.,-
OutputChannelConfig,sql,OutputChannelConfigSql,type,-,FileConfig,yes,no,31,31,workspaces/cedargate_ws/pipes_config/load_master_ccs_icd_cm.pc.json,conditional_pipes_config.0.pipes_config.0.apply.0.output_channel,jets/compute_pipes/pipes_model.go:790,pass,Configuration for a channel writing records to JetStore db (postgres).,-
ClusteringSpec,*,ClusteringSpec,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:1342,pass,Configuration for the clustering transformation operator.,-
MergeSpec,*,MergeSpec,-,-,-,yes,no,9,8,workspaces/jets_ws/pipes_config/patient_profile.pc.json,conditional_pipes_config.6.pipes_config.0.apply.0.merge_config,jets/compute_pipes/pipes_model.go:1117,pass,Configuration for the merge transformation operator: specify the channels to merge and how to group them.,-
ConditionalTransformationSpec,*,ConditionalTransformationSpec,-,-,-,yes,no,6,6,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.3.pipes_config.1.apply.0.conditional_config.0,jets/compute_pipes/pipes_model.go:648,pass,Configuration to specify a condition to override fields of a transformation operator or replace the transformation altogether.,-
TransformationColumnSpec,avrg,TransformationColumnSpecAvrg,type,-,-,yes,no,1,1,workspaces/cedargate_ws/pipes_config/data_profiling.pc.json,conditional_pipes_config.3.pipes_config.0.apply.0.columns.11.else_expr.0,jets/compute_pipes/pipes_model.go:1363,pass,Set the output with the average of the input values (aggregate function).,-
TransformationColumnSpec,case,TransformationColumnSpecCase,type,-,-,yes,no,30,30,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.1.apply.0.columns.0,jets/compute_pipes/pipes_model.go:1363,pass,Set the output using a sql-like case operator,-
TransformationColumnSpec,count,TransformationColumnSpecCount,type,-,-,yes,no,147,147,workspaces/cedargate_ws/pipes_config/qc_TEMPLATE.pc.json,reducing_pipes_config.1.1.apply.0.columns.2,jets/compute_pipes/pipes_model.go:1363,pass,Set the output with the count of non null input values (aggregate function).,-
TransformationColumnSpec,distinct_count,TransformationColumnSpecDistinctCount,type,-,-,yes,no,13,13,workspaces/cedargate_ws/pipes_config/qc_biometric.pc.json,reducing_pipes_config.1.0.apply.0.columns.3,jets/compute_pipes/pipes_model.go:1363,pass,Set the output with the count of non null distinct input values (aggregate function).,-
TransformationColumnSpec,eval,TransformationColumnSpecEval,type,-,-,yes,no,72,72,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.1.apply.0.columns.2,jets/compute_pipes/pipes_model.go:1363,pass,Set the output to the result of an expression.,-
TransformationColumnSpec,hash,TransformationColumnSpecHash,type,-,-,yes,no,28,28,workspaces/cedargate_ws/pipes_config/qc_TEMPLATE.pc.json,reducing_pipes_config.0.0.apply.0.columns.2,jets/compute_pipes/pipes_model.go:1363,pass,Set the output to the result of the hash expression.,-
TransformationColumnSpec,lookup,TransformationColumnSpecLookup,type,-,-,yes,no,9,9,workspaces/cedargate_ws/pipes_config/qc_TEMPLATE.pc.json,reducing_pipes_config.3.0.apply.0.columns.1,jets/compute_pipes/pipes_model.go:1363,pass,Set the output with a value from a lookup table,-
TransformationColumnSpec,map,TransformationColumnSpecMap,type,-,-,yes,no,242,242,workspaces/cedargate_ws/pipes_config/jetrules_test.pc.json,reducing_pipes_config.1.0.apply.0.columns.0,jets/compute_pipes/pipes_model.go:1363,pass,"Map the input value into the output, applying transformation and data type conversion.",-
TransformationColumnSpec,map_reduce,TransformationColumnSpecMapReduce,type,-,-,yes,no,5,5,workspaces/cedargate_ws/pipes_config/qc_biometric.pc.json,reducing_pipes_config.1.0.apply.0.columns.11,jets/compute_pipes/pipes_model.go:1363,pass,"Shard the input values based on a column, apply reducing transformation to each shard then reduce all shards using reducing functions, set the output with the resulting value.",-
TransformationColumnSpec,max,TransformationColumnSpecMax,type,-,-,yes,no,4,4,workspaces/cedargate_ws/pipes_config/data_profiling.pc.json,conditional_pipes_config.3.pipes_config.0.apply.0.columns.10.case_expr.0.then.1,jets/compute_pipes/pipes_model.go:1363,pass,Set the output with the max of the non null input values (aggregate function).,-
TransformationColumnSpec,min,TransformationColumnSpecMin,type,-,-,yes,no,3,3,workspaces/cedargate_ws/pipes_config/data_profiling.pc.json,conditional_pipes_config.3.pipes_config.0.apply.0.columns.10.case_expr.0.then.0,jets/compute_pipes/pipes_model.go:1363,pass,Set the output with the min of the non null input values (aggregate function).,-
TransformationColumnSpec,multi_select,TransformationColumnSpecMultiSelect,type,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:1363,pass,Set the output with an array of the values from specified input columns.,-
TransformationColumnSpec,select,TransformationColumnSpecSelect,type,-,-,yes,no,733,733,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.1.apply.0.columns.0.case_expr.0.then.0,jets/compute_pipes/pipes_model.go:1363,pass,Set the output by selecting from an input column.,-
TransformationColumnSpec,sum,TransformationColumnSpecSum,type,-,-,yes,no,187,187,workspaces/cedargate_ws/pipes_config/data_profiling.pc.json,conditional_pipes_config.3.pipes_config.0.apply.0.columns.7,jets/compute_pipes/pipes_model.go:1363,pass,Set the output with the sum of the non null input values (aggregate function).,-
TransformationColumnSpec,value,TransformationColumnSpecValue,type,-,-,yes,no,597,596,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.columns.0,jets/compute_pipes/pipes_model.go:1363,pass,Set the output to a specified value.,-
MapExpression,*,MapExpression,-,-,-,yes,no,242,242,workspaces/cedargate_ws/pipes_config/jetrules_test.pc.json,reducing_pipes_config.1.0.apply.0.columns.0.map_expr,jets/compute_pipes/pipes_model.go:1457,pass,"Configuration details for mapping: cleansing functions, type casting, default value",-
CaseExpression,*,CaseExpression,-,-,-,yes,no,171,171,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.1.apply.0.columns.0.case_expr.0,jets/compute_pipes/pipes_model.go:1506,pass,Defines the when-then building block of a case expression.,-
LookupColumnSpec,select,LookupColumnSpecSelect,type,-,-,yes,no,45,45,workspaces/cedargate_ws/pipes_config/qc_TEMPLATE.pc.json,reducing_pipes_config.3.0.apply.0.columns.1.key.0,jets/compute_pipes/pipes_model.go:1392,pass,Select returns the value of input column.Select the value from an input column (lookup key) or lookup table row (lookup values),-
LookupColumnSpec,value,LookupColumnSpecValue,type,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:1392,pass,Set to a constant value (lookup values),-
SchemaColumnSpec,*,SchemaColumnSpec,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:480,pass,"A column of a schema provider: name, and length/precision for fixed_width.",-
ReportCmdSpec,s3_copy_file,ReportCmdSpec,type,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:462,pass,"A report command run by the schema provider; s3_copy_file copies a file from s3 to s3, optionally gated by a when expression.","The model expresses this struct as one class rather than one per token, so the $defs key is the struct itself; defs_name records what the schema calls it rather than what the mechanical rule would."
S3CopyFileSpec,*,S3CopyFileSpec,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:471,pass,Configuration of the s3_copy_file report command: source and destination bucket/key. Default worker_pool_size is calculated from the number of tasks.,-
DomainKeysSpec,*,DomainKeysSpec,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_domain_key.go:15,pass,"Domain-key configuration: an overriding hashing method applicable to all object types, and per-object-type key info.",-
DomainKeyInfo,*,DomainKeyInfo,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_domain_key.go:26,pass,A composite domain key for one object type: the key_expr column expressions and the object type they hash for.,-
ColumnFileSpec,*,ColumnFileSpec,-,-,-,yes,no,1,1,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.3.pipes_config.0.apply.0.anonymize_config.anonymized_columns_output_file,jets/compute_pipes/pipes_model.go:1017,pass,"Where the anonymize operator writes its columns file: bucket (empty for JetStore one), output location, schema provider and delimiter.",-
SourcesConfigSpec,*,SourcesConfigSpec,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/actions_common_model.go:84,untestable,Carry-over configuration from table source_config: the main input and the inputs merged or injected via domain keys.,-
InputSourceSpec,*,InputSourceSpec,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/actions_common_model.go:111,untestable,"One input source: its original and current column names, domain class and domain keys.",-
MultiTokensNode,*,MultiTokensNode,-,-,-,yes,no,2,2,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.1.pipes_config.0.apply.0.analyze_config.lookup_tokens.0.multi_tokens_match.0,jets/compute_pipes/pipes_model.go:887,pass,Identifies a value made of multiple tokens (e.g. full name): the value is split on spaces and punctuation and each split value must match at least one token.,-
TargetColumnsLookupSpec,*,TargetColumnsLookupSpec,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:1355,pass,"Lookup table driving the clustering operator's target columns: the lookup name, its data classification column and the classification values of the two column groups.",-
TransformationSpec,infer,TransformationSpecInfer,type,-,-,yes,no,1,1,workspaces/jets_ws/pipes_config/patient_profile.pc.json,conditional_pipes_config.6.pipes_config.3.apply.0,jets/compute_pipes/pipes_model.go:614,pass,"Calls an inference server once per record and augments the record in place with values extracted from the model response, against whichever backend the deployment names.","Added 2026-09-05. Resolved away before anything else sees it: ResolveInferBackend rewrites it into an ollama or vllm step between ApplyAllConditionalTransformationSpec and SynthesizeDefaultErrorChannels, so the executors, the error-channel synthesis and the validator keep seeing the two operators they already knew and no dispatch site learned a third. It is what patient_profile.pc.json authors, which is why the ollama token's corpus count is now zero."
InferSpec,*,InferSpec,-,-,InferCommonSpec,yes,no,1,1,workspaces/jets_ws/pipes_config/patient_profile.pc.json,conditional_pipes_config.6.pipes_config.3.apply.0.infer_config,jets/compute_pipes/pipes_model.go:1638,pass,"Configuration of the backend-agnostic infer operator: the backend, the model, the prompt and response mapping, the request policy, and each backend's specialized keys.","The union of OllamaSpec and VllmSpec. It embeds the same InferCommonSpec they do rather than restating it, which is what lets one document serve both backends without a second copy of output_mapping and error_channel. The specialized keys are flat and inert on the backend that does not read them: keep_alive and think are ollama's, structured_output is vllm's."
Element,~paragraph,ElementParagraph,-,present(text),-,yes,no,5,5,workspaces/jets_ws/pipes_config/patient_profile_template.pc.json,text_templates.0.elements.0,jets/agentic/template/spec.go:55,pass,"A paragraph of a text template document: one block of markup, wrapped to the document width.","Declared in jets/agentic/template rather than in pipes_model.go, which is this table's first rows for a struct outside the cpipes package; TextTemplateSpec carries it by reference so the contract reaches the notation rather than stopping at the array. Tested first, mirroring compileElement, which reads text before elements. Q-106, settled at BB.1 2026-09-11: no kind discriminator, and the two variants are ~virtual tokens telling themselves apart by shape. That needed one relaxation - check required the discriminator column to be '-' exactly when the token is '*', which conflated having variants with having a discriminating key, and Element is the first struct whose variants are all virtual. The one-row alternative was written first and the harness refused it: a minimal config synthesised from a single Element/* row carries neither text nor elements, which is a compile failure, so a contract that cannot state the rule cannot generate a valid document."
Element,~group,ElementGroup,-,present(elements),-,yes,no,2,2,workspaces/jets_ws/pipes_config/patient_profile_template.pc.json,text_templates.0.elements.2,jets/agentic/template/spec.go:55,pass,"A group of a text template document: children emitted in array order, with a fallback for the case where none of them emitted.","Declared in jets/agentic/template rather than in pipes_model.go, which is this table's first rows for a struct outside the cpipes package; TextTemplateSpec carries it by reference so the contract reaches the notation rather than stopping at the array. The recursion of the notation lives here: a group's children are elements. A document is itself a group, which is what lets the document-level empty be one concept rather than a special case."
RenderSpec,*,RenderSpec,-,-,-,yes,no,1,1,workspaces/jets_ws/pipes_config/patient_profile_template.pc.json,conditional_pipes_config.6.pipes_config.3.apply.0.render_config,jets/compute_pipes/pipes_model.go:1287,pass,"Configuration of the render transformation operator: the template it applies, the column it reads and the column the rendered text lands in.","It does not embed InferCommonSpec, and the overlap is deliberate rather than missed: row_key_column, on_error, max_error_count and error_channel carry the same meanings the infer operators give them, and the other five members of that struct - model, api, the two prompt fields, output_mapping - describe a request to a server this operator does not make. Embedding would put nine inapplicable keys on every render step to save four rows."
TextTemplateSpec,*,TextTemplateSpec,-,-,-,yes,no,1,1,workspaces/jets_ws/pipes_config/patient_profile_template.pc.json,text_templates.0,jets/compute_pipes/pipes_model.go:1243,pass,"Shared configuration of text template documents, named and applied by the render operator.","PromptTemplateSpec's shape one array over, and copied rather than paralleled: a document declared at the configuration root can be shared by several steps and pipes. The four document fields are copied from template.Spec rather than embedded, because the engine's Spec decodes strictly and admits no comment while every element of this configuration carries one; TestTextTemplateSpecCarriesTheDocument is what keeps the two in step."
TransformationSpec,render,TransformationSpecRender,type,-,-,yes,no,1,1,workspaces/jets_ws/pipes_config/patient_profile_template.pc.json,conditional_pipes_config.6.pipes_config.3.apply.0,jets/compute_pipes/pipes_model.go:617,pass,Renders one text template per record and augments the record in place with the rendered text.,"The infer token's escape is unavailable to it: infer is rewritten into an ollama or vllm step before anything else sees it, so it added no dispatch site, while render is new runtime behaviour with nothing to be rewritten into. It pays the six switches of the phase plan's section 1.6 in full, and reportsRowLevelFailures and errorChannelConfig both name it, which is what a row-level operator owes."
